method,policy,epoch,elapsed_min,n,cumulative_energy_kwh_mean,cumulative_energy_kwh_std,cumulative_energy_kwh_min,cumulative_energy_kwh_max,cumulative_operating_s_mean,cumulative_operating_s_std,cumulative_operating_s_min,cumulative_operating_s_max,cumulative_planning_runtime_s_mean,cumulative_planning_runtime_s_std,cumulative_planning_runtime_s_min,cumulative_planning_runtime_s_max,latency_adjusted_energy_kwh_mean,latency_adjusted_energy_kwh_std,latency_adjusted_energy_kwh_min,latency_adjusted_energy_kwh_max
aco,static_frozen,16,16.0,10,67.50677393267733,1.3070911185491159,65.86746434316974,69.46235332068383,1020.0,0.0,1020.0,1020.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,67.50677393267733,1.3070911185491159,65.86746434316974,69.46235332068383
aco,static_frozen,17,17.0,10,72.81767475520893,1.9108426221702346,70.40755362421662,75.61424366034423,1080.0,0.0,1080.0,1080.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,72.81767475520893,1.9108426221702346,70.40755362421662,75.61424366034423
aco,static_frozen,18,18.0,10,76.30535776859291,2.1463378202077177,73.51138432351061,79.63517511696213,1140.0,0.0,1140.0,1140.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,76.30535776859291,2.1463378202077177,73.51138432351061,79.63517511696213
aco,static_frozen,19,19.0,10,79.35541157999852,2.63411367161895,75.76610867432406,83.72681137941139,1200.0,0.0,1200.0,1200.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,79.35541157999852,2.63411367161895,75.76610867432406,83.72681137941139
aco,static_frozen,20,20.0,10,82.86877186995432,3.6126653992729083,78.40987545136838,89.5231320797883,1260.0,0.0,1260.0,1260.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,82.86877186995432,3.6126653992729083,78.40987545136838,89.5231320797883
aco,static_frozen,21,21.0,10,85.2822578061921,4.891794048926655,79.91768944822029,93.61425721287192,1320.0,0.0,1320.0,1320.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,85.2822578061921,4.891794048926655,79.91768944822029,93.61425721287192
aco,static_frozen,22,22.0,10,88.3466793251073,4.669680165764391,83.82952310116178,98.31455419127349,1380.0,0.0,1380.0,1380.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,88.3466793251073,4.669680165764391,83.82952310116178,98.31455419127349
aco,static_frozen,23,23.0,10,91.07878422390272,5.337059326039926,85.69430340930815,102.87903412248392,1440.0,0.0,1440.0,1440.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,91.07878422390272,5.337059326039926,85.69430340930815,102.87903412248392
aco,static_frozen,24,24.0,10,93.46087188148795,5.916358610190526,87.73486752063313,105.85297744732114,1500.0,0.0,1500.0,1500.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,93.46087188148795,5.916358610190526,87.73486752063313,105.85297744732114
aco,static_frozen,25,25.0,10,95.37786869384209,5.759458208535225,90.14393863593853,107.97296839521444,1560.0,0.0,1560.0,1560.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,95.37786869384209,5.759458208535225,90.14393863593853,107.97296839521444
aco,static_frozen,26,26.0,10,97.19821471811602,5.851669596189244,91.82689819988596,110.23852931185652,1620.0,0.0,1620.0,1620.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,97.19821471811602,5.851669596189244,91.82689819988596,110.23852931185652
aco,static_frozen,27,27.0,10,101.0491636346969,5.783162773563966,95.70058027014146,113.26012135353282,1680.0,0.0,1680.0,1680.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,101.0491636346969,5.783162773563966,95.70058027014146,113.26012135353282
aco,static_frozen,28,28.0,10,105.28597805659084,6.315017437004253,98.56053141962042,118.04488330121508,1740.0,0.0,1740.0,1740.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,105.28597805659084,6.315017437004253,98.56053141962042,118.04488330121508
aco,static_frozen,29,29.0,10,108.6890831119343,6.388718561333887,99.96990100032362,120.8322364030956,1800.0,0.0,1800.0,1800.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,108.6890831119343,6.388718561333887,99.96990100032362,120.8322364030956
aco,static_frozen,30,30.0,10,113.88842581574647,5.373188219378504,105.78615648256836,121.80072292658969,1860.0,0.0,1860.0,1860.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,113.88842581574647,5.373188219378504,105.78615648256836,121.80072292658969
aco,static_frozen,31,31.0,10,118.09920755263697,6.051969479147794,109.44004561694707,125.77572055861694,1920.0,0.0,1920.0,1920.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,118.09920755263697,6.051969479147794,109.44004561694707,125.77572055861694
