start_hour,run_id,method,n_bins,vehicles,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged
20,proposed_n84_k10_h20_s7,proposed,84,10,7,118.4515033289712,168.15484966710287,156.64403666479308,1681.5484966710287,14.487740800017493,1131.9389639999715,2838.2174071709514,84,13168.0,10,True,True,True,True,True,False,64.0,False
20,pso_n84_k10_h20_s7,pso,84,10,7,140.3474181788881,165.9652581821112,157.54973479525196,1659.652581821112,11.659191599988844,18.564718699955847,2818.372948571722,84,13168.0,10,True,True,True,True,True,,,
21,aco_n84_k10_h21_s7,aco,84,10,7,123.50250049635405,167.6497499503646,155.34465035934716,1676.497499503646,13.1216631999705,35.67880090000108,2913.883970248763,84,13168.0,10,True,True,True,True,True,,,
21,ga_n84_k10_h21_s7,ga,84,10,7,132.43848863350556,166.75615113664944,160.1001280166105,1667.5615113664944,13.1216631999705,28.40144330001204,2578.4640001505786,84,13168.0,10,True,True,True,True,True,,,
21,nn_n84_k10_h21_s7,nn,84,10,7,156.63200397628202,164.3367996023718,156.2637452731825,1643.367996023718,13.1216631999705,0.4004508000216447,2731.453149196342,84,13168.0,10,True,True,True,True,True,,,
21,proposed_n84_k10_h21_s7,proposed,84,10,7,117.54307142909744,168.24569285709026,157.10175668415903,1682.4569285709026,13.8676633000141,1081.9236603999743,3032.243659109259,84,13168.0,10,True,True,True,True,True,False,64.0,False
21,pso_n84_k10_h21_s7,pso,84,10,7,149.9142940055092,165.0085705994491,146.07041021294182,1650.0857059944908,13.1216631999705,20.42160190001596,4062.703665654007,84,13168.0,10,True,True,True,True,True,,,
22,aco_n84_k10_h22_s7,aco,84,10,7,108.54917550614536,169.14508244938548,159.10644815910058,1691.4508244938547,12.921502200013492,34.91099170001689,2756.9800137048805,84,13168.0,10,True,True,True,True,True,,,
22,ga_n84_k10_h22_s7,ga,84,10,7,116.3637966938152,168.3636203306185,157.2468305165542,1683.6362033061848,12.921502200013492,36.74464200000512,2468.429564618661,84,13168.0,10,True,True,True,True,True,,,
22,nn_n84_k10_h22_s7,nn,84,10,7,129.62161686088874,167.03783831391112,153.24101590659862,1670.3783831391113,12.921502200013492,0.3990098999929614,2742.879967815136,84,13168.0,10,True,True,True,True,True,,,
22,proposed_n84_k10_h22_s7,proposed,84,10,7,100.44321963632024,169.95567803636797,155.27939796889618,1699.5567803636798,15.218725299928336,2247.469919999945,2702.697381500869,84,13168.0,10,True,True,True,True,True,False,64.0,False
22,pso_n84_k10_h22_s7,pso,84,10,7,125.75056801174722,167.42494319882528,152.93819421599457,1674.2494319882528,12.921502200013492,18.972395899996627,2884.843250752501,84,13168.0,10,True,True,True,True,True,,,
23,aco_n84_k10_h23_s7,aco,84,10,7,95.50754844443983,170.449245155556,159.51505868146472,1704.49245155556,13.266446999972686,36.13452199997846,2583.9296531597306,84,13168.0,10,True,True,True,True,True,,,
23,ga_n84_k10_h23_s7,ga,84,10,7,107.69341668851546,169.23065833114845,160.4241238318272,1692.3065833114845,13.266446999972686,41.43261700001312,2874.106524142776,84,13168.0,10,True,True,True,True,True,,,
23,nn_n84_k10_h23_s7,nn,84,10,7,122.00708525426636,167.79929147457335,157.70779612335275,1677.9929147457335,13.266446999972686,0.3810355000314303,2924.567044554628,84,13168.0,10,True,True,True,True,True,,,
23,proposed_n84_k10_h23_s7,proposed,84,10,7,91.98111486287608,170.8018885137124,158.99165502149452,1708.018885137124,13.615968300029635,1648.3286537000677,2779.3061415261973,84,13168.0,10,True,True,True,True,True,False,64.0,False
23,pso_n84_k10_h23_s7,pso,84,10,7,117.21621148816746,168.27837885118325,158.47043731518377,1682.7837885118324,13.266446999972686,19.47396639996441,2876.9675130924475,84,13168.0,10,True,True,True,True,True,,,
